#miRNA	read_count	precursor	total	red_50_bl4	red_50_bl2	walton_15_bl2	walton_50_bl5	walton_50_bl1	walton_50_bl3	walton_15_bl3	walton_50_bl2	walton_15_bl1	red_15_bl1	red_15_bl2	red_50_bl3	walton_15_bl6	red_15_bl3	red_15_bl4	no_plant_15_bl3	red_50_bl5	red_50_bl1	no_plant_50_bl6	no_plant_15_bl4	walton_50_bl4	no_plant_50_bl2	no_plant_15_bl6	no_plant_15_bl2	no_plant_15_bl5	no_plant_15_bl1	walton_15_bl5	red_50_bl6	no_plant_50_bl5	no_plant_50_bl4	walton_50_bl6	walton_15_bl4	no_plant_50_bl3	no_plant_50_bl1	red_15_bl6	red_15_bl5	red_50_bl4(norm)	red_50_bl2(norm)	walton_15_bl2(norm)	walton_50_bl5(norm)	walton_50_bl1(norm)	walton_50_bl3(norm)	walton_15_bl3(norm)	walton_50_bl2(norm)	walton_15_bl1(norm)	red_15_bl1(norm)	red_15_bl2(norm)	red_50_bl3(norm)	walton_15_bl6(norm)	red_15_bl3(norm)	red_15_bl4(norm)	no_plant_15_bl3(norm)	red_50_bl5(norm)	red_50_bl1(norm)	no_plant_50_bl6(norm)	no_plant_15_bl4(norm)	walton_50_bl4(norm)	no_plant_50_bl2(norm)	no_plant_15_bl6(norm)	no_plant_15_bl2(norm)	no_plant_15_bl5(norm)	no_plant_15_bl1(norm)	walton_15_bl5(norm)	red_50_bl6(norm)	no_plant_50_bl5(norm)	no_plant_50_bl4(norm)	walton_50_bl6(norm)	walton_15_bl4(norm)	no_plant_50_bl3(norm)	no_plant_50_bl1(norm)	red_15_bl6(norm)	red_15_bl5(norm)
read16396_x75__NC_057809.1_40__115429641..115429661__115429641..115429718_minus_mature	139.00	read16396_x75__NC_057809.1_40__115429641..115429661__115429641..115429718_minus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read16396_x75__NC_057810.1_47__183024808..183024828__183024808..183024885_minus_mature	139.00	read16396_x75__NC_057810.1_47__183024808..183024828__183024808..183024885_minus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read16396_x75__NC_057811.1_10__117325186..117325206__117325129..117325206_plus_mature	139.00	read16396_x75__NC_057811.1_10__117325186..117325206__117325129..117325206_plus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read1674_x317__NC_057798.1_43__376905698..376905717__376905698..376905932_minus_mature	1939.00	read1674_x317__NC_057798.1_43__376905698..376905717__376905698..376905932_minus	1939.00	182.00	27.00	0	138.00	70.00	37.00	1.00	186.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	258.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	239.00	38.00	37.00	24.00	19.00	15.00	59399.48	49632.35	0	68793.62	51395.01	58359.62	1890.36	76167.08	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73046.43	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70730.99	34514.08	53008.60	18808.78	33747.78	25083.61
read1674_x317__NC_057807.1_43__290487842..290487861__290487663..290487861_minus_mature	1941.00	read1674_x317__NC_057807.1_43__290487842..290487861__290487663..290487861_minus	1941.00	183.00	27.00	0	138.00	70.00	37.00	1.00	185.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	260.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	238.00	38.00	38.00	24.00	19.00	15.00	59725.85	49632.35	0	68793.62	51395.01	58359.62	1890.36	75757.58	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73612.68	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70435.04	34514.08	54441.26	18808.78	33747.78	25083.61
read1674_x317__NC_057813.1_26__549563721..549563740__549563476..549563740_minus_mature	3000.00	read1674_x317__NC_057813.1_26__549563721..549563740__549563476..549563740_minus	3000.00	316.00	58.00	2.00	210.00	107.00	57.00	1.00	231.00	10.00	6.00	1.00	95.00	9.00	10.00	78.00	4.00	47.00	63.00	381.00	1.00	261.00	211.00	1.00	0	5.00	0	24.00	106.00	46.00	108.00	329.00	49.00	84.00	47.00	23.00	19.00	103133.16	106617.65	2503.13	104685.94	78560.94	89905.36	1890.36	94594.59	20040.08	9244.99	1490.31	57856.27	14729.95	8467.40	55358.41	4419.89	78726.97	52282.16	107870.89	1956.95	94771.24	115237.58	11904.76	0	12953.37	0	46153.85	94390.03	101321.59	118942.73	97366.08	44505.00	120343.84	36833.86	40852.58	31772.58
read1674_x317__NC_057814.1_36__29245438..29245457__29245367..29245457_minus_mature	1938.00	read1674_x317__NC_057814.1_36__29245438..29245457__29245367..29245457_minus	1938.00	183.00	27.00	0	138.00	70.00	37.00	1.00	185.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	258.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	238.00	38.00	37.00	24.00	19.00	15.00	59725.85	49632.35	0	68793.62	51395.01	58359.62	1890.36	75757.58	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73046.43	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70435.04	34514.08	53008.60	18808.78	33747.78	25083.61
read184570_x12__NC_057794.1_11__327919206..327919226__327919131..327919226_plus_mature	45.00	read184570_x12__NC_057794.1_11__327919206..327919226__327919131..327919226_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057795.1_45__364044174..364044194__364044174..364044269_minus_mature	45.00	read184570_x12__NC_057795.1_45__364044174..364044194__364044174..364044269_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057796.1_19__257227808..257227828__257227733..257227828_plus_mature	45.00	read184570_x12__NC_057796.1_19__257227808..257227828__257227733..257227828_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057803.1_54__16368380..16368400__16368380..16368476_minus_mature	45.00	read184570_x12__NC_057803.1_54__16368380..16368400__16368380..16368476_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057804.1_23__562353047..562353067__562352972..562353067_plus_mature	45.00	read184570_x12__NC_057804.1_23__562353047..562353067__562352972..562353067_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057805.1_15__450392780..450392800__450392711..450392800_plus_mature	45.00	read184570_x12__NC_057805.1_15__450392780..450392800__450392711..450392800_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057806.1_25__579923559..579923579__579923559..579923630_minus_mature	45.00	read184570_x12__NC_057806.1_25__579923559..579923579__579923559..579923630_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057807.1_20__566228440..566228460__566228440..566228515_minus_mature	45.00	read184570_x12__NC_057807.1_20__566228440..566228460__566228440..566228515_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057808.1_46__461763245..461763265__461763245..461763320_minus_mature	45.00	read184570_x12__NC_057808.1_46__461763245..461763265__461763245..461763320_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read184570_x12__NC_057809.1_24__563503013..563503033__563502931..563503033_plus_mature	3.00	read184570_x12__NC_057809.1_24__563503013..563503033__563502931..563503033_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read184570_x12__NC_057810.1_25__638235812..638235832__638235712..638235832_plus_mature	3.00	read184570_x12__NC_057810.1_25__638235812..638235832__638235712..638235832_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read184570_x12__NC_057811.1_22__439685224..439685244__439685126..439685244_plus_mature	3.00	read184570_x12__NC_057811.1_22__439685224..439685244__439685126..439685244_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read184570_x12__NC_057814.1_27__497236861..497236881__497236861..497237014_minus_mature	45.00	read184570_x12__NC_057814.1_27__497236861..497236881__497236861..497237014_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read208941_x11__NC_057800.1_49__140723878..140723897__140723878..140724050_minus_mature	8.00	read208941_x11__NC_057800.1_49__140723878..140723897__140723878..140724050_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057801.1_46__186142777..186142796__186142777..186142950_minus_mature	8.00	read208941_x11__NC_057801.1_46__186142777..186142796__186142777..186142950_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057802.1_30__123239880..123239899__123239880..123240052_minus_mature	8.00	read208941_x11__NC_057802.1_30__123239880..123239899__123239880..123240052_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057812.1_30__598685172..598685191__598685172..598685344_minus_mature	8.00	read208941_x11__NC_057812.1_30__598685172..598685191__598685172..598685344_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read2150_x259__NC_057810.1_21__327108141..327108160__327108141..327108392_minus_mature	2050.00	read2150_x259__NC_057810.1_21__327108141..327108160__327108141..327108392_minus	2050.00	162.00	0	1.00	11.00	0	0	16.00	0	3.00	3.00	0	34.00	12.00	3.00	7.00	5.00	2.00	239.00	9.00	7.00	536.00	12.00	1.00	8.00	4.00	1.00	3.00	1.00	0	68.00	22.00	22.00	56.00	800.00	0	2.00	52872.06	0	1251.56	5483.55	0	0	30245.75	0	6012.02	4622.50	0	20706.46	19639.93	2540.22	4968.06	5524.86	3350.08	198340.25	2548.13	13698.63	194626.00	6553.80	11904.76	15122.87	10362.69	2207.51	5769.23	890.47	0	74889.87	6510.80	19981.83	80229.23	626959.25	0	3344.48
read22849_x59__NC_057800.1_2__14041266..14041286__14041120..14041286_plus_mature	202.00	read22849_x59__NC_057800.1_2__14041266..14041286__14041120..14041286_plus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
read22849_x59__NC_057801.1_68__12799151..12799171__12799151..12799321_minus_mature	202.00	read22849_x59__NC_057801.1_68__12799151..12799171__12799151..12799321_minus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
read22849_x59__NC_057802.1_48__6524965..6524985__6524965..6525135_minus_mature	202.00	read22849_x59__NC_057802.1_48__6524965..6524985__6524965..6525135_minus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
