#miRNA	read_count	precursor	total	roq_bl3	roq_bl4	bognol_bl1	roq_bl1	bognol_bl4	bognol_bl3	roq_bl2	bognol_bl2	bognol_bl5	roq_bl6	bognol_bl6	roq_bl5	no_plant_15_bl2	no_plant_50_bl1	no_plant_50_bl2	no_plant_50_bl3	no_plant_15_bl4	no_plant_15_bl1	no_plant_15_bl3	no_plant_50_bl4	no_plant_15_bl5	no_plant_15_bl6	no_plant_50_bl6	no_plant_50_bl5	roq_bl3(norm)	roq_bl4(norm)	bognol_bl1(norm)	roq_bl1(norm)	bognol_bl4(norm)	bognol_bl3(norm)	roq_bl2(norm)	bognol_bl2(norm)	bognol_bl5(norm)	roq_bl6(norm)	bognol_bl6(norm)	roq_bl5(norm)	no_plant_15_bl2(norm)	no_plant_50_bl1(norm)	no_plant_50_bl2(norm)	no_plant_50_bl3(norm)	no_plant_15_bl4(norm)	no_plant_15_bl1(norm)	no_plant_15_bl3(norm)	no_plant_50_bl4(norm)	no_plant_15_bl5(norm)	no_plant_15_bl6(norm)	no_plant_50_bl6(norm)	no_plant_50_bl5(norm)
read182048_x7__NC_023756.2_2__45422731..45422750__45422583..45422750_plus_mature	14.00	read182048_x7__NC_023756.2_2__45422731..45422750__45422583..45422750_plus	14.00	0	1.00	1.00	0	0	0	4.00	0	2.00	0	0	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1897.53	1661.13	0	0	0	5201.56	0	4728.13	0	0	5386.00	0	0	0	0	0	0	0	0	0	0	0	0
read186482_x6__NC_023753.2_24__34379011..34379030__34379011..34379092_plus_mature	14.00	read186482_x6__NC_023753.2_24__34379011..34379030__34379011..34379092_plus	14.00	0	0	1.00	1.00	0	1.00	4.00	1.00	1.00	0	0	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661.13	3412.97	0	1254.71	5201.56	1106.19	2364.07	0	0	4488.33	0	0	0	0	0	0	0	0	0	0	0	0
read186482_x6__NC_023757.2_14__41064315..41064334__41064315..41064397_plus_mature	0.00	read186482_x6__NC_023757.2_14__41064315..41064334__41064315..41064397_plus	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read2244_x252__NC_023750.2_2__12326109..12326128__12326109..12326237_plus_mature	459.00	read2244_x252__NC_023750.2_2__12326109..12326128__12326109..12326237_plus	459.00	7.00	5.00	23.00	10.00	18.00	6.00	8.00	12.00	3.00	2.00	0	8.00	78.00	8.00	26.00	16.00	76.00	38.00	27.00	22.00	38.00	5.00	2.00	21.00	39772.73	9487.67	38205.98	34129.69	19715.22	7528.23	10403.12	13274.34	7092.20	3159.56	0	7181.33	309523.81	98765.43	63882.06	125984.25	417582.42	584615.38	250000.00	122222.22	413043.48	833333.33	2564.10	181034.48
read2444_x127__NC_023753.2_5__2688935..2688956__2688896..2688956_plus_mature	254.00	read2444_x127__NC_023753.2_5__2688935..2688956__2688896..2688956_plus	254.00	2.00	8.00	25.00	8.00	32.00	32.00	46.00	29.00	20.00	7.00	2.00	43.00	0	0	0	0	0	0	0	0	0	0	0	0	11363.64	15180.27	41528.24	27303.75	35049.29	40150.56	59817.95	32079.65	47281.32	11058.45	7117.44	38599.64	0	0	0	0	0	0	0	0	0	0	0	0
read253975_x6__NC_023752.2_1__777294..777314__777241..777314_plus_mature	25.00	read253975_x6__NC_023752.2_1__777294..777314__777241..777314_plus	25.00	0	5.00	3.00	1.00	1.00	3.00	6.00	4.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9487.67	4983.39	3412.97	1095.29	3764.12	7802.34	4424.78	2364.07	1579.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read259059_x6__NC_023753.2_18__30700993..30701013__30700993..30701060_plus_mature	40.00	read259059_x6__NC_023753.2_18__30700993..30701013__30700993..30701060_plus	40.00	1.00	1.00	0	1.00	6.00	0	7.00	6.00	8.00	0	0	10.00	0	0	0	0	0	0	0	0	0	0	0	0	5681.82	1897.53	0	3412.97	6571.74	0	9102.73	6637.17	18912.53	0	0	8976.66	0	0	0	0	0	0	0	0	0	0	0	0
read3414_x102__NC_023753.2_5__2688935..2688956__2688896..2688956_plus_mature	254.00	read3414_x102__NC_023753.2_5__2688935..2688956__2688896..2688956_plus	254.00	2.00	8.00	25.00	8.00	32.00	32.00	46.00	29.00	20.00	7.00	2.00	43.00	0	0	0	0	0	0	0	0	0	0	0	0	11363.64	15180.27	41528.24	27303.75	35049.29	40150.56	59817.95	32079.65	47281.32	11058.45	7117.44	38599.64	0	0	0	0	0	0	0	0	0	0	0	0
read375702_x4__NC_023757.2_11__38951483..38951503__38951401..38951503_minus_mature	14.00	read375702_x4__NC_023757.2_11__38951483..38951503__38951401..38951503_minus	14.00	0	0	0	0	2.00	3.00	2.00	1.00	1.00	1.00	0	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2190.58	3764.12	2600.78	1106.19	2364.07	1579.78	0	3590.66	0	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023750.2_2__39616986..39617006__39616885..39617006_plus_mature	199.00	read4131_x94__NC_023750.2_2__39616986..39617006__39616885..39617006_plus	199.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	12.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	28368.79	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023751.2_10__22574690..22574710__22574571..22574710_plus_mature	201.00	read4131_x94__NC_023751.2_10__22574690..22574710__22574571..22574710_plus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023751.2_1__9693338..9693358__9693191..9693358_plus_mature	198.00	read4131_x94__NC_023751.2_1__9693338..9693358__9693191..9693358_plus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023751.2_9__22574407..22574427__22574344..22574427_plus_mature	198.00	read4131_x94__NC_023751.2_9__22574407..22574427__22574344..22574427_plus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023753.2_15__20188983..20189003__20188906..20189003_plus_mature	201.00	read4131_x94__NC_023753.2_15__20188983..20189003__20188906..20189003_plus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023753.2_25__29852322..29852342__29852322..29852404_minus_mature	198.00	read4131_x94__NC_023753.2_25__29852322..29852342__29852322..29852404_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023754.2_2__30748057..30748077__30747902..30748077_plus_mature	33.00	read4131_x94__NC_023754.2_2__30748057..30748077__30747902..30748077_plus	33.00	0	2.00	1.00	0	2.00	6.00	10.00	8.00	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	3795.07	1661.13	0	2190.58	7528.23	13003.90	8849.56	4728.13	0	0	1795.33	0	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023756.2_13__44928726..44928746__44928726..44928856_minus_mature	201.00	read4131_x94__NC_023756.2_13__44928726..44928746__44928726..44928856_minus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023758.2_16__44632870..44632890__44632870..44632953_minus_mature	198.00	read4131_x94__NC_023758.2_16__44632870..44632890__44632870..44632953_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023758.2_20__44632602..44632622__44632602..44632725_minus_mature	201.00	read4131_x94__NC_023758.2_20__44632602..44632622__44632602..44632725_minus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023759.2_17__40973414..40973434__40973414..40973505_minus_mature	198.00	read4131_x94__NC_023759.2_17__40973414..40973434__40973414..40973505_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read4131_x94__NC_023759.2_7__31589544..31589564__31589315..31589564_plus_mature	11.00	read4131_x94__NC_023759.2_7__31589544..31589564__31589315..31589564_plus	11.00	0	1.00	0	0	0	0	4.00	4.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1897.53	0	0	0	0	5201.56	4424.78	2364.07	0	0	897.67	0	0	0	0	0	0	0	0	0	0	0	0
read51207_x17__NC_023753.2_3__2686647..2686667__2686596..2686667_plus_mature	48.00	read51207_x17__NC_023753.2_3__2686647..2686667__2686596..2686667_plus	48.00	0	4.00	2.00	1.00	5.00	4.00	17.00	5.00	4.00	0	0	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	7590.13	3322.26	3412.97	5476.45	5018.82	22106.63	5530.97	9456.26	0	0	5386.00	0	0	0	0	0	0	0	0	0	0	0	0
read529_x276__NC_023753.2_39__4003891..4003910__4003871..4003910_minus_mature	1301.00	read529_x276__NC_023753.2_39__4003891..4003910__4003871..4003910_minus	1301.00	20.00	108.00	62.00	43.00	63.00	78.00	9.00	27.00	36.00	156.00	57.00	103.00	0	24.00	127.00	37.00	1.00	0	4.00	52.00	5.00	0	259.00	30.00	113636.36	204933.59	102990.03	146757.68	69003.29	97867.00	11703.51	29867.26	85106.38	246445.50	202846.98	92459.61	0	296296.30	312039.31	291338.58	5494.51	0	37037.04	288888.89	54347.83	0	332051.28	258620.69
read54255_x17__NC_023754.2_3__30747902..30747922__30747730..30747922_plus_mature	5.00	read54255_x17__NC_023754.2_3__30747902..30747922__30747730..30747922_plus	5.00	0	0	1.00	0	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661.13	0	3285.87	0	0	1106.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023750.2_6__39616986..39617006__39616885..39617006_plus_mature	199.00	read6114_x70__NC_023750.2_6__39616986..39617006__39616885..39617006_plus	199.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	12.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	28368.79	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023751.2_10__22574690..22574710__22574571..22574710_plus_mature	201.00	read6114_x70__NC_023751.2_10__22574690..22574710__22574571..22574710_plus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023751.2_11__22574407..22574427__22574344..22574427_plus_mature	198.00	read6114_x70__NC_023751.2_11__22574407..22574427__22574344..22574427_plus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023751.2_1__9693338..9693358__9693191..9693358_plus_mature	198.00	read6114_x70__NC_023751.2_1__9693338..9693358__9693191..9693358_plus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023753.2_15__20188983..20189003__20188906..20189003_plus_mature	201.00	read6114_x70__NC_023753.2_15__20188983..20189003__20188906..20189003_plus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023753.2_33__29852322..29852342__29852322..29852404_minus_mature	198.00	read6114_x70__NC_023753.2_33__29852322..29852342__29852322..29852404_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023754.2_6__30748057..30748077__30747902..30748077_plus_mature	33.00	read6114_x70__NC_023754.2_6__30748057..30748077__30747902..30748077_plus	33.00	0	2.00	1.00	0	2.00	6.00	10.00	8.00	2.00	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	3795.07	1661.13	0	2190.58	7528.23	13003.90	8849.56	4728.13	0	0	1795.33	0	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023756.2_9__44928726..44928746__44928726..44928856_minus_mature	201.00	read6114_x70__NC_023756.2_9__44928726..44928746__44928726..44928856_minus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023758.2_20__44632870..44632890__44632870..44632953_minus_mature	198.00	read6114_x70__NC_023758.2_20__44632870..44632890__44632870..44632953_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023758.2_24__44632602..44632622__44632602..44632725_minus_mature	201.00	read6114_x70__NC_023758.2_24__44632602..44632622__44632602..44632725_minus	201.00	5.00	7.00	16.00	6.00	28.00	23.00	26.00	34.00	11.00	7.00	5.00	32.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	33810.14	37610.62	26004.73	11058.45	17793.59	28725.31	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023759.2_27__40973414..40973434__40973414..40973505_minus_mature	198.00	read6114_x70__NC_023759.2_27__40973414..40973434__40973414..40973505_minus	198.00	5.00	7.00	16.00	6.00	28.00	23.00	25.00	33.00	11.00	7.00	5.00	31.00	1.00	0	0	0	0	0	0	0	0	0	0	0	28409.09	13282.73	26578.07	20477.82	30668.13	28858.22	32509.75	36504.42	26004.73	11058.45	17793.59	27827.65	3968.25	0	0	0	0	0	0	0	0	0	0	0
read6114_x70__NC_023759.2_9__31589544..31589564__31589315..31589564_plus_mature	11.00	read6114_x70__NC_023759.2_9__31589544..31589564__31589315..31589564_plus	11.00	0	1.00	0	0	0	0	4.00	4.00	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1897.53	0	0	0	0	5201.56	4424.78	2364.07	0	0	897.67	0	0	0	0	0	0	0	0	0	0	0	0
read70397_x14__NC_023753.2_3__2686647..2686668__2686595..2686668_plus_mature	70.00	read70397_x14__NC_023753.2_3__2686647..2686668__2686595..2686668_plus	70.00	0	7.00	3.00	3.00	11.00	6.00	19.00	10.00	4.00	1.00	0	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	13282.73	4983.39	10238.91	12048.19	7528.23	24707.41	11061.95	9456.26	1579.78	0	5386.00	0	0	0	0	0	0	0	0	0	0	0	0
read71712_x14__NC_023758.2_6__26145341..26145361__26145341..26145430_plus_mature	34.00	read71712_x14__NC_023758.2_6__26145341..26145361__26145341..26145430_plus	34.00	0	0	2.00	3.00	11.00	0	6.00	1.00	3.00	1.00	3.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3322.26	10238.91	12048.19	0	7802.34	1106.19	7092.20	1579.78	10676.16	3590.66	0	0	0	0	0	0	0	0	0	0	0	0
read856601_x3__NC_023750.2_1__38038352..38038372__38038352..38038519_plus_mature	3.00	read856601_x3__NC_023750.2_1__38038352..38038372__38038352..38038519_plus	3.00	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3285.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
