#miRNA	read_count	precursor	total	gold_bl1	gold_bl2	gold_bl3	gold_bl6	gold_bl5	art_bl1	gold_bl4	art_bl6	no_plant_15_bl2	no_plant_50_bl1	art_bl4	no_plant_50_bl2	no_plant_50_bl3	art_bl5	no_plant_15_bl4	no_plant_15_bl1	art_bl2	art_bl3	no_plant_15_bl3	no_plant_50_bl4	no_plant_15_bl5	no_plant_15_bl6	no_plant_50_bl6	no_plant_50_bl5	gold_bl1(norm)	gold_bl2(norm)	gold_bl3(norm)	gold_bl6(norm)	gold_bl5(norm)	art_bl1(norm)	gold_bl4(norm)	art_bl6(norm)	no_plant_15_bl2(norm)	no_plant_50_bl1(norm)	art_bl4(norm)	no_plant_50_bl2(norm)	no_plant_50_bl3(norm)	art_bl5(norm)	no_plant_15_bl4(norm)	no_plant_15_bl1(norm)	art_bl2(norm)	art_bl3(norm)	no_plant_15_bl3(norm)	no_plant_50_bl4(norm)	no_plant_15_bl5(norm)	no_plant_15_bl6(norm)	no_plant_50_bl6(norm)	no_plant_50_bl5(norm)
read147232_x7__NC_050098.1_18__197171383..197171403__197171383..197171464_plus_mature	32.00	read147232_x7__NC_050098.1_18__197171383..197171403__197171383..197171464_plus	32.00	0	0	10.00	4.00	1.00	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	7.00	0	0	0	0	0	0	0	0	26881.72	22471.91	16129.03	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	26819.92	0	0	0	0	0	0
read147232_x7__NC_050098.1_8__120490540..120490560__120490540..120490695_plus_mature	22.00	read147232_x7__NC_050098.1_8__120490540..120490560__120490540..120490695_plus	22.00	3.00	0	3.00	3.00	0	0	0	2.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	18292.68	0	8064.52	16853.93	0	0	0	4975.12	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read147232_x7__NC_050099.1_16__244734624..244734644__244734624..244734887_plus_mature	1.00	read147232_x7__NC_050099.1_16__244734624..244734644__244734624..244734887_plus	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10989.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read147232_x7__NC_050100.1_0__4590706..4590726__4590706..4590803_plus_mature	22.00	read147232_x7__NC_050100.1_0__4590706..4590726__4590706..4590803_plus	22.00	3.00	0	3.00	3.00	0	0	0	2.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	18292.68	0	8064.52	16853.93	0	0	0	4975.12	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read147232_x7__NC_050100.1_2__8157866..8157886__8157866..8157957_plus_mature	22.00	read147232_x7__NC_050100.1_2__8157866..8157886__8157866..8157957_plus	22.00	3.00	0	3.00	3.00	0	0	0	2.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	18292.68	0	8064.52	16853.93	0	0	0	4975.12	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read147232_x7__NC_050101.1_22__103038488..103038508__103038403..103038508_minus_mature	29.00	read147232_x7__NC_050101.1_22__103038488..103038508__103038403..103038508_minus	29.00	0	0	10.00	4.00	0	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	0	0	26881.72	22471.91	0	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read147232_x7__NC_050102.1_14__9992173..9992193__9992112..9992193_minus_mature	32.00	read147232_x7__NC_050102.1_14__9992173..9992193__9992112..9992193_minus	32.00	0	0	10.00	4.00	1.00	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	7.00	0	0	0	0	0	0	0	0	26881.72	22471.91	16129.03	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	26819.92	0	0	0	0	0	0
read147232_x7__NC_050104.1_12__115296887..115296907__115296887..115296979_plus_mature	29.00	read147232_x7__NC_050104.1_12__115296887..115296907__115296887..115296979_plus	29.00	0	0	10.00	4.00	0	0	0	4.00	0	0	1.00	0	0	3.00	0	0	2.00	5.00	0	0	0	0	0	0	0	0	26881.72	22471.91	0	0	0	9950.25	0	0	3355.70	0	0	12396.69	0	0	9708.74	19157.09	0	0	0	0	0	0
read162121_x6__NC_050098.1_23__58672045..58672065__58672045..58672194_minus_mature	15.00	read162121_x6__NC_050098.1_23__58672045..58672065__58672045..58672194_minus	15.00	0	1.00	2.00	2.00	2.00	0	1.00	3.00	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	10989.01	5376.34	11235.96	32258.06	0	2083.33	7462.69	0	0	10067.11	0	0	4132.23	0	0	0	0	0	0	0	0	0	0
read162121_x6__NC_050103.1_23__39555889..39555909__39555889..39556031_minus_mature	15.00	read162121_x6__NC_050103.1_23__39555889..39555909__39555889..39556031_minus	15.00	0	1.00	2.00	2.00	2.00	0	1.00	3.00	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	10989.01	5376.34	11235.96	32258.06	0	2083.33	7462.69	0	0	10067.11	0	0	4132.23	0	0	0	0	0	0	0	0	0	0
read183729_x7__NC_050098.1_33__25560326..25560346__25560326..25560538_minus_mature	14.00	read183729_x7__NC_050098.1_33__25560326..25560346__25560326..25560538_minus	14.00	0	1.00	4.00	0	0	0	1.00	4.00	0	0	0	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	0	10989.01	10752.69	0	0	0	2083.33	9950.25	0	0	0	0	0	0	0	0	9708.74	7662.84	0	0	0	0	0	0
read183729_x7__NC_050103.1_13__10999849..10999869__10999690..10999869_plus_mature	14.00	read183729_x7__NC_050103.1_13__10999849..10999869__10999690..10999869_plus	14.00	0	1.00	4.00	0	0	0	1.00	4.00	0	0	0	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	0	10989.01	10752.69	0	0	0	2083.33	9950.25	0	0	0	0	0	0	0	0	9708.74	7662.84	0	0	0	0	0	0
read183729_x7__NC_050103.1_1__10813741..10813761__10813557..10813761_plus_mature	14.00	read183729_x7__NC_050103.1_1__10813741..10813761__10813557..10813761_plus	14.00	0	1.00	4.00	0	0	0	1.00	4.00	0	0	0	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	0	10989.01	10752.69	0	0	0	2083.33	9950.25	0	0	0	0	0	0	0	0	9708.74	7662.84	0	0	0	0	0	0
read19606_x30__NC_050096.1_15__246976670..246976690__246976610..246976690_plus_mature	64.00	read19606_x30__NC_050096.1_15__246976670..246976690__246976610..246976690_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050096.1_23__281340988..281341008__281340988..281341061_minus_mature	64.00	read19606_x30__NC_050096.1_23__281340988..281341008__281340988..281341061_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050096.1_26__228763665..228763685__228763665..228763776_minus_mature	64.00	read19606_x30__NC_050096.1_26__228763665..228763685__228763665..228763776_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050096.1_32__228668859..228668879__228668859..228668972_minus_mature	64.00	read19606_x30__NC_050096.1_32__228668859..228668879__228668859..228668972_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050096.1_5__13677418..13677438__13677315..13677438_plus_mature	64.00	read19606_x30__NC_050096.1_5__13677418..13677438__13677315..13677438_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050098.1_5__92760710..92760730__92760635..92760730_plus_mature	4.00	read19606_x30__NC_050098.1_5__92760710..92760730__92760635..92760730_plus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read19606_x30__NC_050099.1_5__155691347..155691367__155691278..155691367_plus_mature	64.00	read19606_x30__NC_050099.1_5__155691347..155691367__155691278..155691367_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050099.1_8__183131678..183131698__183131678..183131893_plus_mature	4.00	read19606_x30__NC_050099.1_8__183131678..183131698__183131678..183131893_plus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read19606_x30__NC_050100.1_19__194582856..194582876__194582792..194582876_plus_mature	64.00	read19606_x30__NC_050100.1_19__194582856..194582876__194582792..194582876_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050100.1_27__219021576..219021596__219021576..219021690_minus_mature	4.00	read19606_x30__NC_050100.1_27__219021576..219021596__219021576..219021690_minus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read19606_x30__NC_050100.1_45__22886734..22886754__22886734..22886835_minus_mature	64.00	read19606_x30__NC_050100.1_45__22886734..22886754__22886734..22886835_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050100.1_5__8453401..8453421__8453346..8453421_plus_mature	64.00	read19606_x30__NC_050100.1_5__8453401..8453421__8453346..8453421_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read19606_x30__NC_050101.1_5__93955881..93955901__93955698..93955901_plus_mature	64.00	read19606_x30__NC_050101.1_5__93955881..93955901__93955698..93955901_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read2244_x252__NC_050098.1_4__182640605..182640624__182640605..182640708_plus_mature	501.00	read2244_x252__NC_050098.1_4__182640605..182640624__182640605..182640708_plus	501.00	6.00	6.00	4.00	4.00	8.00	39.00	20.00	4.00	77.00	8.00	29.00	26.00	16.00	17.00	74.00	37.00	6.00	9.00	25.00	22.00	36.00	5.00	2.00	21.00	36585.37	65934.07	10752.69	22471.91	129032.26	410526.32	41666.67	9950.25	250814.33	235294.12	97315.44	448275.86	355555.56	70247.93	251700.68	296000.00	29126.21	34482.76	178571.43	278481.01	253521.13	384615.38	111111.11	420000.00
read2244_x252__NC_050105.1_4__62187305..62187324__62187221..62187324_minus_mature	501.00	read2244_x252__NC_050105.1_4__62187305..62187324__62187221..62187324_minus	501.00	6.00	6.00	4.00	4.00	8.00	39.00	20.00	4.00	77.00	8.00	29.00	26.00	16.00	17.00	74.00	37.00	6.00	9.00	25.00	22.00	36.00	5.00	2.00	21.00	36585.37	65934.07	10752.69	22471.91	129032.26	410526.32	41666.67	9950.25	250814.33	235294.12	97315.44	448275.86	355555.56	70247.93	251700.68	296000.00	29126.21	34482.76	178571.43	278481.01	253521.13	384615.38	111111.11	420000.00
read2608081_x1__NC_050100.1_34__94479590..94479611__94479590..94479675_minus_mature	5.00	read2608081_x1__NC_050100.1_34__94479590..94479611__94479590..94479675_minus	5.00	0	0	0	2.00	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	11235.96	0	0	2083.33	0	0	0	3355.70	0	0	0	0	0	0	3831.42	0	0	0	0	0	0
read29404_x22__NC_050099.1_22__247815889..247815909__247815843..247815909_minus_mature	42.00	read29404_x22__NC_050099.1_22__247815889..247815909__247815843..247815909_minus	42.00	0	0	14.00	3.00	0	0	9.00	4.00	0	0	3.00	0	0	2.00	0	0	1.00	6.00	0	0	0	0	0	0	0	0	37634.41	16853.93	0	0	18750.00	9950.25	0	0	10067.11	0	0	8264.46	0	0	4854.37	22988.51	0	0	0	0	0	0
read29404_x22__NC_050100.1_40__76381915..76381935__76381869..76381935_minus_mature	42.00	read29404_x22__NC_050100.1_40__76381915..76381935__76381869..76381935_minus	42.00	0	0	14.00	3.00	0	0	9.00	4.00	0	0	3.00	0	0	2.00	0	0	1.00	6.00	0	0	0	0	0	0	0	0	37634.41	16853.93	0	0	18750.00	9950.25	0	0	10067.11	0	0	8264.46	0	0	4854.37	22988.51	0	0	0	0	0	0
read294501_x5__NC_050098.1_31__58672045..58672064__58672045..58672194_minus_mature	15.00	read294501_x5__NC_050098.1_31__58672045..58672064__58672045..58672194_minus	15.00	0	1.00	2.00	2.00	2.00	0	1.00	3.00	0	0	3.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	10989.01	5376.34	11235.96	32258.06	0	2083.33	7462.69	0	0	10067.11	0	0	4132.23	0	0	0	0	0	0	0	0	0	0
read3000809_x1__NC_050098.1_39__7690281..7690300__7690281..7690520_minus_mature	7.00	read3000809_x1__NC_050098.1_39__7690281..7690300__7690281..7690520_minus	7.00	0	0	0	0	0	0	3.00	0	0	0	1.00	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	6250.00	0	0	0	3355.70	0	0	4132.23	0	0	4854.37	3831.42	0	0	0	0	0	0
read3938274_x1__NC_050098.1_36__7690280..7690300__7690280..7690521_minus_mature	13.00	read3938274_x1__NC_050098.1_36__7690280..7690300__7690280..7690521_minus	13.00	1.00	0	3.00	0	0	0	4.00	0	0	0	1.00	0	0	1.00	0	0	2.00	1.00	0	0	0	0	0	0	6097.56	0	8064.52	0	0	0	8333.33	0	0	0	3355.70	0	0	4132.23	0	0	9708.74	3831.42	0	0	0	0	0	0
read47369_x18__NC_050096.1_13__246976670..246976690__246976610..246976690_plus_mature	64.00	read47369_x18__NC_050096.1_13__246976670..246976690__246976610..246976690_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050096.1_25__281340988..281341008__281340988..281341061_minus_mature	64.00	read47369_x18__NC_050096.1_25__281340988..281341008__281340988..281341061_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050096.1_27__228763665..228763685__228763665..228763776_minus_mature	64.00	read47369_x18__NC_050096.1_27__228763665..228763685__228763665..228763776_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050096.1_29__228668859..228668879__228668859..228668972_minus_mature	64.00	read47369_x18__NC_050096.1_29__228668859..228668879__228668859..228668972_minus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050096.1_5__13677418..13677438__13677315..13677438_plus_mature	64.00	read47369_x18__NC_050096.1_5__13677418..13677438__13677315..13677438_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050098.1_5__92760710..92760730__92760635..92760730_plus_mature	4.00	read47369_x18__NC_050098.1_5__92760710..92760730__92760635..92760730_plus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read47369_x18__NC_050099.1_5__155691347..155691367__155691278..155691367_plus_mature	64.00	read47369_x18__NC_050099.1_5__155691347..155691367__155691278..155691367_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050099.1_8__183131678..183131698__183131678..183131893_plus_mature	4.00	read47369_x18__NC_050099.1_8__183131678..183131698__183131678..183131893_plus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read47369_x18__NC_050100.1_19__194582856..194582876__194582792..194582876_plus_mature	64.00	read47369_x18__NC_050100.1_19__194582856..194582876__194582792..194582876_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050100.1_27__219021576..219021596__219021576..219021690_minus_mature	4.00	read47369_x18__NC_050100.1_27__219021576..219021596__219021576..219021690_minus	4.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	10989.01	2688.17	0	0	0	0	0	0	0	0	0	0	4132.23	0	0	4854.37	0	0	0	0	0	0	0
read47369_x18__NC_050100.1_5__8453401..8453421__8453346..8453421_plus_mature	64.00	read47369_x18__NC_050100.1_5__8453401..8453421__8453346..8453421_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read47369_x18__NC_050101.1_5__93955881..93955901__93955698..93955901_plus_mature	64.00	read47369_x18__NC_050101.1_5__93955881..93955901__93955698..93955901_plus	64.00	7.00	2.00	9.00	4.00	1.00	0	16.00	3.00	1.00	0	6.00	0	0	5.00	0	0	7.00	3.00	0	0	0	0	0	0	42682.93	21978.02	24193.55	22471.91	16129.03	0	33333.33	7462.69	3257.33	0	20134.23	0	0	20661.16	0	0	33980.58	11494.25	0	0	0	0	0	0
read4761127_x1__NC_050100.1_39__84380092..84380111__84380092..84380165_minus_mature	1.00	read4761127_x1__NC_050100.1_39__84380092..84380111__84380092..84380165_minus	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2487.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
